# coordinate_system: voxel_xy_after_load_rotation_geometry_for_volume
# x = volume H-axis coordinate, y = volume W-axis coordinate
centers_shape: (21, 2)
ray_origins_shape: (311, 2)

[centers]
idx	x_H_axis	y_W_axis
0	48.000000	66.000000
1	57.955448	67.656799
2	67.920799	72.323196
3	77.896049	79.999199
4	87.881203	90.684799
5	97.876251	104.379997
6	107.881203	121.084801
7	117.896049	140.799194
8	127.920799	163.523193
9	137.955444	189.256805
10	148.000000	218.000000
11	157.855453	189.256805
12	167.720795	163.523193
13	177.596054	140.799194
14	187.481201	121.084801
15	197.376251	104.379997
16	207.281204	90.684799
17	217.196045	79.999199
18	227.120804	72.323196
19	237.055450	67.656799
20	247.000000	66.000000

[ray_origins]
idx	x_H_axis	y_W_axis	nearest_center_id	nearest_center_dist
0	48.000000	66.000000	0	0.00000000
1	48.000000	66.000000	0	0.00000000
2	48.000000	66.000000	0	0.00000000
3	48.000000	66.000000	0	0.00000000
4	48.000000	66.000000	0	0.00000000
5	48.000000	66.000000	0	0.00000000
6	48.000000	66.000000	0	0.00000000
7	48.000000	66.000000	0	0.00000000
8	48.000000	66.000000	0	0.00000000
9	48.000000	66.000000	0	0.00000000
10	48.000000	66.000000	0	0.00000000
11	48.000000	66.000000	0	0.00000000
12	48.000000	66.000000	0	0.00000000
13	48.000000	66.000000	0	0.00000000
14	48.000000	66.000000	0	0.00000000
15	48.000000	66.000000	0	0.00000000
16	48.000000	66.000000	0	0.00000000
17	48.000000	66.000000	0	0.00000000
18	48.000000	66.000000	0	0.00000000
19	48.000000	66.000000	0	0.00000000
20	48.000000	66.000000	0	0.00000000
21	48.000000	66.000000	0	0.00000000
22	48.000000	66.000000	0	0.00000000
23	48.000000	66.000000	0	0.00000000
24	48.000000	66.000000	0	0.00000000
25	48.000000	66.000000	0	0.00000000
26	48.000000	66.000000	0	0.00000000
27	48.000000	66.000000	0	0.00000000
28	48.000000	66.000000	0	0.00000000
29	48.000000	66.000000	0	0.00000000
30	48.000000	66.000000	0	0.00000000
31	48.000000	66.000000	0	0.00000000
32	48.000000	66.000000	0	0.00000000
33	57.955448	67.656799	1	0.00000000
34	57.955448	67.656799	1	0.00000000
35	57.955448	67.656799	1	0.00000000
36	57.955448	67.656799	1	0.00000000
37	57.955448	67.656799	1	0.00000000
38	57.955448	67.656799	1	0.00000000
39	57.955448	67.656799	1	0.00000000
