# coordinate_system: voxel_xy_after_load_rotation_geometry_for_volume
# x = volume H-axis coordinate, y = volume W-axis coordinate
centers_shape: (21, 2)
ray_origins_shape: (311, 2)

[centers]
idx	x_H_axis	y_W_axis
0	82.000000	95.000000
1	91.955452	96.656799
2	101.920799	101.323196
3	111.896049	108.999199
4	121.881203	119.684799
5	131.876251	133.380005
6	141.881195	150.084793
7	151.896057	169.799194
8	161.920807	192.523193
9	171.955444	218.256805
10	182.000000	247.000000
11	191.855453	218.256805
12	201.720795	192.523193
13	211.596054	169.799194
14	221.481201	150.084793
15	231.376251	133.380005
16	241.281204	119.684799
17	251.196045	108.999199
18	261.120789	101.323196
19	271.055450	96.656799
20	281.000000	95.000000

[ray_origins]
idx	x_H_axis	y_W_axis	nearest_center_id	nearest_center_dist
0	82.000000	95.000000	0	0.00000000
1	82.000000	95.000000	0	0.00000000
2	82.000000	95.000000	0	0.00000000
3	82.000000	95.000000	0	0.00000000
4	82.000000	95.000000	0	0.00000000
5	82.000000	95.000000	0	0.00000000
6	82.000000	95.000000	0	0.00000000
7	82.000000	95.000000	0	0.00000000
8	82.000000	95.000000	0	0.00000000
9	82.000000	95.000000	0	0.00000000
10	82.000000	95.000000	0	0.00000000
11	82.000000	95.000000	0	0.00000000
12	82.000000	95.000000	0	0.00000000
13	82.000000	95.000000	0	0.00000000
14	82.000000	95.000000	0	0.00000000
15	82.000000	95.000000	0	0.00000000
16	82.000000	95.000000	0	0.00000000
17	82.000000	95.000000	0	0.00000000
18	82.000000	95.000000	0	0.00000000
19	82.000000	95.000000	0	0.00000000
20	82.000000	95.000000	0	0.00000000
21	82.000000	95.000000	0	0.00000000
22	82.000000	95.000000	0	0.00000000
23	82.000000	95.000000	0	0.00000000
24	82.000000	95.000000	0	0.00000000
25	82.000000	95.000000	0	0.00000000
26	82.000000	95.000000	0	0.00000000
27	82.000000	95.000000	0	0.00000000
28	82.000000	95.000000	0	0.00000000
29	82.000000	95.000000	0	0.00000000
30	82.000000	95.000000	0	0.00000000
31	82.000000	95.000000	0	0.00000000
32	82.000000	95.000000	0	0.00000000
33	91.955452	96.656799	1	0.00000000
34	91.955452	96.656799	1	0.00000000
35	91.955452	96.656799	1	0.00000000
36	91.955452	96.656799	1	0.00000000
37	91.955452	96.656799	1	0.00000000
38	91.955452	96.656799	1	0.00000000
39	91.955452	96.656799	1	0.00000000
40	91.955452	96.656799	1	0.00000000
41	91.955452	96.656799	1	0.00000000
42	91.955452	96.656799	1	0.00000000
43	91.955452	96.656799	1	0.00000000
44	91.955452	96.656799	1	0.00000000
45	91.955452	96.656799	1	0.00000000
46	91.955452	96.656799	1	0.00000000
47	91.955452	96.656799	1	0.00000000
48	91.955452	96.656799	1	0.00000000
49	91.955452	96.656799	1	0.00000000
50	91.955452	96.656799	1	0.00000000
51	91.955452	96.656799	1	0.00000000
52	91.955452	96.656799	1	0.00000000
53	91.955452	96.656799	1	0.00000000
54	91.955452	96.656799	1	0.00000000
55	91.955452	96.656799	1	0.00000000
56	91.955452	96.656799	1	0.00000000
57	91.955452	96.656799	1	0.00000000
58	91.955452	96.656799	1	0.00000000
59	91.955452	96.656799	1	0.00000000
60	91.955452	96.656799	1	0.00000000
61	91.955452	96.656799	1	0.00000000
62	91.955452	96.656799	1	0.00000000
63	91.955452	96.656799	1	0.00000000
64	91.955452	96.656799	1	0.00000000
65	91.955452	96.656799	1	0.00000000
66	101.920799	101.323196	2	0.00000000
67	101.920799	101.323196	2	0.00000000
68	101.920799	101.323196	2	0.00000000
69	101.920799	101.323196	2	0.00000000
70	101.920799	101.323196	2	0.00000000
71	101.920799	101.323196	2	0.00000000
72	101.920799	101.323196	2	0.00000000
73	101.920799	101.323196	2	0.00000000
74	101.920799	101.323196	2	0.00000000
75	101.920799	101.323196	2	0.00000000
76	101.920799	101.323196	2	0.00000000
77	101.920799	101.323196	2	0.00000000
78	101.920799	101.323196	2	0.00000000
79	101.920799	101.323196	2	0.00000000
80	101.920799	101.323196	2	0.00000000
81	101.920799	101.323196	2	0.00000000
82	101.920799	101.323196	2	0.00000000
83	101.920799	101.323196	2	0.00000000
84	101.920799	101.323196	2	0.00000000
85	101.920799	101.323196	2	0.00000000
86	101.920799	101.323196	2	0.00000000
87	101.920799	101.323196	2	0.00000000
88	111.896049	108.999199	3	0.00000000
89	111.896049	108.999199	3	0.00000000
90	111.896049	108.999199	3	0.00000000
91	111.896049	108.999199	3	0.00000000
92	111.896049	108.999199	3	0.00000000
93	111.896049	108.999199	3	0.00000000
94	111.896049	108.999199	3	0.00000000
95	111.896049	108.999199	3	0.00000000
96	111.896049	108.999199	3	0.00000000
97	111.896049	108.999199	3	0.00000000
98	111.896049	108.999199	3	0.00000000
99	111.896049	108.999199	3	0.00000000
100	111.896049	108.999199	3	0.00000000
101	111.896049	108.999199	3	0.00000000
102	111.896049	108.999199	3	0.00000000
103	111.896049	108.999199	3	0.00000000
104	111.896049	108.999199	3	0.00000000
