# coordinate_system: voxel_xy_after_load_rotation_geometry_for_volume
# x = volume H-axis coordinate, y = volume W-axis coordinate
centers_shape: (21, 2)
ray_origins_shape: (576, 2)

[centers]
idx	x_H_axis	y_W_axis
0	73.000000	83.000000
1	82.955452	84.656799
2	92.920799	89.323196
3	102.896049	96.999199
4	112.881203	107.684799
5	122.876251	121.379997
6	132.881195	138.084793
7	142.896057	157.799194
8	152.920807	180.523193
9	162.955444	206.256805
10	173.000000	235.000000
11	182.855453	206.256805
12	192.720795	180.523193
13	202.596054	157.799194
14	212.481201	138.084793
15	222.376251	121.379997
16	232.281204	107.684799
17	242.196045	96.999199
18	252.120804	89.323196
19	262.055450	84.656799
20	272.000000	83.000000

[ray_origins]
idx	x_H_axis	y_W_axis	nearest_center_id	nearest_center_dist
0	73.000000	83.000000	0	0.00000000
1	73.000000	83.000000	0	0.00000000
2	73.000000	83.000000	0	0.00000000
3	73.000000	83.000000	0	0.00000000
4	73.000000	83.000000	0	0.00000000
5	73.000000	83.000000	0	0.00000000
6	73.000000	83.000000	0	0.00000000
7	73.000000	83.000000	0	0.00000000
8	73.000000	83.000000	0	0.00000000
9	73.000000	83.000000	0	0.00000000
10	73.000000	83.000000	0	0.00000000
11	73.000000	83.000000	0	0.00000000
12	73.000000	83.000000	0	0.00000000
13	73.000000	83.000000	0	0.00000000
14	73.000000	83.000000	0	0.00000000
15	73.000000	83.000000	0	0.00000000
16	73.000000	83.000000	0	0.00000000
17	73.000000	83.000000	0	0.00000000
18	73.000000	83.000000	0	0.00000000
19	73.000000	83.000000	0	0.00000000
20	73.000000	83.000000	0	0.00000000
21	73.000000	83.000000	0	0.00000000
22	73.000000	83.000000	0	0.00000000
23	73.000000	83.000000	0	0.00000000
24	73.000000	83.000000	0	0.00000000
25	73.000000	83.000000	0	0.00000000
26	73.000000	83.000000	0	0.00000000
27	73.000000	83.000000	0	0.00000000
28	73.000000	83.000000	0	0.00000000
29	73.000000	83.000000	0	0.00000000
30	73.000000	83.000000	0	0.00000000
31	73.000000	83.000000	0	0.00000000
32	73.000000	83.000000	0	0.00000000
33	73.000000	83.000000	0	0.00000000
34	73.000000	83.000000	0	0.00000000
35	73.000000	83.000000	0	0.00000000
36	73.000000	83.000000	0	0.00000000
37	73.000000	83.000000	0	0.00000000
38	73.000000	83.000000	0	0.00000000
39	73.000000	83.000000	0	0.00000000
40	73.000000	83.000000	0	0.00000000
41	73.000000	83.000000	0	0.00000000
42	73.000000	83.000000	0	0.00000000
43	73.000000	83.000000	0	0.00000000
44	73.000000	83.000000	0	0.00000000
45	73.000000	83.000000	0	0.00000000
46	73.000000	83.000000	0	0.00000000
47	73.000000	83.000000	0	0.00000000
48	73.000000	83.000000	0	0.00000000
49	73.000000	83.000000	0	0.00000000
50	73.000000	83.000000	0	0.00000000
51	73.000000	83.000000	0	0.00000000
52	73.000000	83.000000	0	0.00000000
53	73.000000	83.000000	0	0.00000000
54	82.955452	84.656799	1	0.00000000
55	82.955452	84.656799	1	0.00000000
56	82.955452	84.656799	1	0.00000000
57	82.955452	84.656799	1	0.00000000
58	82.955452	84.656799	1	0.00000000
59	82.955452	84.656799	1	0.00000000
60	82.955452	84.656799	1	0.00000000
61	82.955452	84.656799	1	0.00000000
62	82.955452	84.656799	1	0.00000000
63	82.955452	84.656799	1	0.00000000
64	82.955452	84.656799	1	0.00000000
65	82.955452	84.656799	1	0.00000000
66	82.955452	84.656799	1	0.00000000
67	82.955452	84.656799	1	0.00000000
68	82.955452	84.656799	1	0.00000000
69	82.955452	84.656799	1	0.00000000
70	82.955452	84.656799	1	0.00000000
71	82.955452	84.656799	1	0.00000000
72	82.955452	84.656799	1	0.00000000
73	82.955452	84.656799	1	0.00000000
74	82.955452	84.656799	1	0.00000000
75	82.955452	84.656799	1	0.00000000
76	82.955452	84.656799	1	0.00000000
77	82.955452	84.656799	1	0.00000000
78	82.955452	84.656799	1	0.00000000
79	82.955452	84.656799	1	0.00000000
80	82.955452	84.656799	1	0.00000000
81	82.955452	84.656799	1	0.00000000
82	82.955452	84.656799	1	0.00000000
83	82.955452	84.656799	1	0.00000000
84	82.955452	84.656799	1	0.00000000
85	82.955452	84.656799	1	0.00000000
86	82.955452	84.656799	1	0.00000000
